text,label
what is the number of relapsing fever when malaria is 3000,0
What number did Patrick O'Bryant wear?,1
What episode aired on 18 April 2007?,0
how many races were in 2009 with 0 wins?,0
what position did the player from connecticut play,0
In which round was Steve Stonebreaker drafted?,1
What are the chances that player 2 wins if player 1's choice is BB R?,0
How many weeks are there?,1
How many viewers watched the show directed by Matt Earl Beesley?,1
What is the score of the match with partner Jim Pugh?,1
When was it where 65 Australians were involved in the UN?,0
"When the money list rank was n/a, what was the scoring average?",0
What is the smallest number of Total Goals?,0
what's the years played with singles w-l of 3–2,0
How many people attended the game versus the Indianapolis Colts?,1
What were the active dates for the storm that had 185km/h (115mph) deaths?,0
Which weapon is used by the guardian who has Śacī as his consort?,1
What was the maximum memory for the model discontinued in November 2001?,1
What's the 1991 census of the city of Carpi?,0
Which school did the player that played 2004-05 attend?,0
What is the probability that the second player wins when their choice is R RB and the first player has a 5.18% chance of winning?,1
What are the directions for the guardian whose weapon is khaḍga (sword)?,0
What is the lowest sex ratio in rural areas?,0
"How many episodes aired in Region 2 beginning May 26, 2008?",0
In 2012 what was the average finish?,0
How many settings where there for episode 29 of the season?,0
How many wins were there when the money list rank was 183?,1
Name the sepal width for i.virginica with petal length of 5.1,0
The position in the NHL team centre are all smaller picks than 243.0,1
Who was the scoring leader and how many points did he score in games on December 23?,1
Which number was Patrick O'Bryant?,0
"What positions does the college/junior/club team, molot perm (russia) have?",0
what is the nfl team where player is thane gash,1
What are all the typhus number when smallpox is 4,0
"What is the minimum production code for the title ""foreign exchange problem / turn about""?",1
What is the seasonal year when the rank is 39?,1
"Which school did the player, who has been in Toronto from 2012 to the present, come from?",1
What school did Patrick O'Bryant play for?,0
Who directed *Dulcinea*?,1
What college/junior/club teams do the players from the St. Louis Blues come from?,0
What if the description of a ch-47d chinook?,0
Name the total number of bids of the sun belt conference,0
What is the number of podiums for season 2010 in campionato italiano superstars.,1
What's the date of the first airing of the episode with series number 63?,0
What is the number of the division for the 1st round?,0
What round was Bill Hill drafted?,0
Where does the defensive back position appear first?,0
what is the singles w-l for kim doo-hwan,1
Which NHL team does player Mike Loach belong to?,1
The Meadowlands Sports Complex is the circuit located in which city or location?,1
Who was Class AAA during the same year that Class A was (tie) Apple Springs/Texline?,1
When did the number 23 show originally air?,1
Who played Peter Pan on the 1990 Broadway?,1
What was the number of wins in 1983?,1
What was the number of nominations for natalia raskokoha?,0
Which club team does Per Gustafsson play for?,1
"Who wrote the episode titled ""black""?",0
"What is the duration of the song that features the piano as the main instrument and was released on February 3, 2004?",1
what nationality is the player who played from 1997-98,0
What are the members listed with the sorority classification,0
Name the sepal length for sepal width of 2.8 and petal length of 5.1,1
What are the members listed under the sorority classification,1
Who took test #4?,0
In which years was the player Lonny Baxter in Toronto?,1
From which school did player number 6 come?,1
How many 2010 estimations have been conducted in the city of Cremona?,1
What are the directions for the guardian who wields khaḍga (sword)?,1
"Which province has a GDP of 38,355 million euros?",1
"Which organizations were established in 1972, but became WOSM members until 1977?",1
What is the number of titles that had a viewership of 26.53 million?,1
Where can you locate Colorado and Southern Railway #9?,1
What is the population percentage of the group where the rural sex ratio is 953?,0
what's the position where player is anthony blaylock,1
What was the original air date of an episode set in 1544?,1
What is Rice's collage score?,0
Who was the scoring leader and how many points did he get in games on December 23?,0
What is the number in the season that Marlene Meyer wrote and 20.49 million people watched?,0
"Who is the storyteller in the episode called ""The Tale of the Jagged Sign""?",0
What position was the #10 draft pick known for playing?,1
How many bullet tips colors had other features of a blue band on case base?,0
In which country (endonym) is Irish English considered the official or native language(s) (alphabet/script)?,1
How many villians were in No. 25?,0
What's the number of the player from Boise State?,0
What is the number of completions recorded for the year with 12 games started?,1
What is the smallest introduced value?,0
Srdjan Dragojevic worked on a film which earned what nomination?,0
What positions does the Hartford Whalers NHL team have?,1
"When the FA Cup Apps is 9, what is the smallest number of FA Cup Goals?",1
What is the name of the report that lists the race name as Long Beach Grand Prix?,1
Who is the manufacturer for the order year 1998?,1
"Which countries have a scouting organization that was established in 1926, and joined WOSM in 1930?",1
What is the largest Indian population?,1
What is the most cup goals for seasson 1911-12?,0
What is the nationality of the player Muggsy Bogues?,1
Which series has 62 points?,1
how many positions were there in 2009?,1
"How many weeks are there that include the date November 9, 1969.",0
What position did the player from Baylor play?,1
What is the name of the track that lasts 5:30?,0
In which year does the season have 10.73 million views?,1
"Which conference is in Jackson, Mississippi?",0
What is the number of season premieres were 10.17 people watched?,0
What is the area of the region that has a population density of 331.4?,1
"What episodes are there where the season premier is September 23, 2009?",0
"How many of the schools listed are in Ames, IA?",0
How many people play Frank in London?,0
what's the singles w-l for kim doo-hwan,0
What's the 1981 census of Livorno?,0
Who is the actress who was nominated for best actress in a leading role in the film Chopin: Desire for love?,1
How many of the schools are designated private/Presbyterian?,0
Who wrote episode 94?,1
"In Penney's game, what is the probability that the first player wins if the probability of a draw is 8.28% and the second player chooses B BR?",1
What is the maximum gross weight of the Robinson R-22?,1
What character did Drake English play in the 1998 Broadway?,0
What position is played by the 255th pick overall?,1
What is Dell Curry's nationality?,1
Who was Class AAA during the school year of 2000-01?,0
Who wrote episode 94?,0
What date was BBC One total viewing greater than 11616996.338225884?,1
What is the lowest child sex ratio in groups where employment is 31.3%?,0
"How many writers had a US air date of September 25, 1993?",1
what is the minimum population canada 2011 census with seat of rcm being cowansville,0
 how many ↓ function / genus → with escherichia being espd,0
what's the doubles w-l with years played value of 1 (1968),0
What is the crystal structure for the formula yba 2 cu 3 o 7?,0
What is the title of the episode with 10.34 million U.S viewers?,1
What is the team for season 1911-12?,0
In what year was Lindenwood University founded?,0
What is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8,0
Which country (exonym) is the country (endonym) Isle of Man ellan vannin?,1
How many have Mrs. briar as a villain,0
how many times is the model ge40lfr?,0
what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,0
Tell me what the notes are for South Australia ,0
How many teams had a #1 draft pick who won the Rookie of the Year Award?,1
When was the 113th episode aired?,1
NHL players are all centre in Florida panthers.,0
What is the major instrument of the song that lasts 4:32? ,0
How many bullet points have colors with other features of a blue band on case base?,1
"How many weeks are there that include the date November 9, 1969.",1
who directed the movie written by is sib ventress / aydrea ten bosch,0
What was the film that vadim ilyenko directed?,0
Which episode was broadcast on 18 April 2007?,1
from which school is rudy gay,1
In which year did the institution Tougaloo College join?,1
what's the years played with singles w-l of 3-2,1
What was Datsun Twin 200's fastest lap?,0
Which teams did the player Vadim Sharifijanov play for?,1
Which school did Patrick O'Bryant play for?,1
What is the country (exonym) where the official or native language(s) (alphabet/script) is Icelandic?,0
Who is the director and what number is the episode for episode 1 of Are You Afraid of the Dark season 3?,1
How many pre-race analysis occur when Allen Bestwick does the lap-by-lap?,0
Who replaced when team is wigan athletic?,0
"Who was the writer of the episode called ""One Hit Wonder""?",1
What is the NHL team that has Peter Strom?,0
how many reports of races took place on october 16?,0
"What is the wheel arrangement for the train in Riverdale, Georgia?",0
what's the nfl team where player is clifford charlton,1
What is the season finale for season 4?,1
What's the report for True Value 500?,1
"What was the ranking of the season finale that aired on May 8, 2006?",1
"what is the total number of playoffs where regular season is 6th, southwest",1
