text,label
Tell me what the notes are for South Australia ,0
"What are the notes associated with the current slogan ""SOUTH AUSTRALIA"" in the table?",1
What is the current series where the new series began in June 2011?,0
What is the current series where the notes indicate that a new series began in June 2011?,1
What is the format for South Australia?,0
What is the format from the table where the state/territory is South Australia?,1
Name the background colour for the Australian Capital Territory,0
What is the text or background colour of the Australian Capital Territory from the table?,1
how many times is the fuel propulsion is cng?,0
How many fleet series quantities are there in the table where the fuel propulsion is CNG?,1
what is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?,0
What is the fuel propulsion type for the fleet series quantity 310-329 (20)?,1
who is the manufacturer for the order year 1998?,0
What is the manufacturer of the table where the order year is 1998?,1
how many times is the model ge40lfr?,0
How many manufacturers are associated with the model GE40LFR in the table?,1
how many times is the fleet series (quantity) is 468-473 (6)?,0
How many orders were placed in the Order Year column where the Fleet Series (Quantity) is 468-473 (6)?,1
what is the powertrain (engine/transmission) when the order year is 2000?,0
What is the Powertrain (Engine/Transmission) for the table where the Order Year is 2000?,1
What if the description of a ch-47d chinook?,0
Retrieve the description of the aircraft model CH-47D Chinook from the table.,1
What is the max gross weight of the Robinson R-22?,0
What is the maximum gross weight for the aircraft model Robinson R-22?,1
What school did player number 6 come from?,0
"What is the ""School/Club Team"" for the entry where the ""No."" is 6?",1
What school did the player that has been in Toronto from 2012-present come from?,0
What is the School/Club Team associated with Toronto for the years 2012-present?,1
What school did the player that has been in Toronto from 2010-2012 go to?,0
What is the School/Club Team associated with Toronto for the years 2010-2012?,1
What position did the player from Baylor play?,0
What is the position of the player who plays for the Baylor school/club team?,1
Who played in the Toronto Raptors from 1995-96?,0
What is the player who played in Toronto during the 1995-96 season?,1
Which number was Patrick O'Bryant?,0
What is the number of Patrick O'Bryant from the table?,1
What school did Patrick O'Bryant play for?,0
What is the School/Club Team of the player named Patrick O'Bryant?,1
How many number does Fordham school have?,0
"How many entries are there in the table where the ""School/Club Team"" is Fordham?",1
Which school was in Toronto in 2001-02?,0
What is the School/Club Team that played in Toronto during the 2001-02 season?,1
Which school did the player that played 2004-05 attend?,0
What is the School/Club Team that played in Toronto during the 2004-05 season?,1
Which position does Loren Woods play?,0
What is the position of the player Loren Woods?,1
What number is the player that played 1998-2001,0
What is the minimum No. from the table where the Years in Toronto are between 1998 and 2001?,1
Which country is the player that went to Georgetown from?,0
What is the nationality of the player who plays for Georgetown?,1
Which school did Herb Williams go to?,0
What is the School/Club Team of the player named Herb Williams?,1
When did the player from Hawaii play for Toronto?,0
What are the years in Toronto from the table where the School/Club Team is Hawaii?,1
During what period did Dell Curry play for Toronto?,0
What is the years in Toronto for the player Dell Curry?,1
What's the number of the player from Boise State?,0
What is the number associated with the entry where the School/Club Team is Boise State?,1
What's Dell Curry nationality?,0
What is the nationality of the player named Dell Curry?,1
which player is from georgia,0
What players are from the Georgia school or club team?,1
what school is rudy gay from,0
What is the School/Club Team of the player named Rudy Gay?,1
what nationality is the player who played from 1997-98,0
What is the nationality of the player who spent the 1997-98 season in Toronto?,1
what position did the player from connecticut play,0
What is the position of the team from Connecticut?,1
During which years was Marcus Banks in Toronto?,0
What is the years in Toronto for the player Marcus Banks?,1
Which positions were in Toronto in 2004?,0
What is the position of the player who played in Toronto in 2004?,1
What nationality is the player Muggsy Bogues?,0
What is the nationality of the player named Muggsy Bogues?,1
What years was the player Lonny Baxter in Toronto?,0
What is the number of years in Toronto for the player named Lonny Baxter?,1
How many players were with the school or club team La Salle?,0
How many players are from La Salle?,1
"When the scoring rank was 117, what was the best finish?",0
What is the best finish where the scoring rank is 117?,1
"When the best finish was T69, how many people came in 2nd?",0
"Select the value of the column named ""2nd"" from the table where the ""Best finish"" is equal to T69.",1
How many wins were there when the money list rank was 183?,0
How many wins are there in the table where the Money list rank is 183?,1
"When the money list rank was n/a, what was the scoring average?",0
What is the scoring average from the table where the money list rank is unknown or not applicable?,1
What time was the highest for 2nd finishers?,0
"What is the second highest value in the column named ""2nd"" from the table?",1
When did the Metrostars have their first Rookie of the Year winner?,0
What is the minimum season number for the team named MetroStars?,1
What college did the Rookie of the Year from the Columbus Crew attend?,0
"What is the college associated with the team named ""Columbus Crew""?",1
How many teams had a #1 draft pick that won the Rookie of the Year Award?,0
How many teams were selected in the first draft pick?,1
What position did the #10 draft pick play?,0
What is the position of the player who was drafted第10 pick?,1
what's the years played with singles w-l of 3–2,0
"What is the ""Years Played"" from the table where the ""Singles W-L"" is 3–2?",1
what's the doubles w-l for player seol jae-min (none),0
What is the doubles win-loss record of player Seol Jae-Min?,1
what's the singles w-l for kim doo-hwan,0
What is the win-loss record (Singles W-L) of the player named Kim Doo-Hwan?,1
what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,0
How many singles games have a win-loss record of 3-1 when the doubles win-loss record is 0-0?,1
what's the doubles w-l with years played value of 1 (1968),0
What is the Doubles W-L record for players who played in 1968?,1
what years are played for player  im chung-yang,0
"What is the ""Years Played"" for the player named Im Chung-Yang?",1
What is the name of the 375 crest length?,0
What is the name of the table where the crest length in meters is exactly 375?,1
What is year of construction of spitallamm?,0
"What is the minimum year of construction for the entity named ""Spitallamm""?",1
What is the canton of grande dixence?,0
What is the canton of the place named Grande Dixence?,1
What is the name where lago di luzzone is?,0
What is the name of the lake that is referred to as Lago di Luzzone?,1
What is the  guardian mātṛkā for the guardian whose consort is Svāhā?,0
What is the Guardian Mātṛkā associated with the Consort Svāhā?,1
"Where the mantra is ""oṃ yaṃ vāyuve namaḥ"", what is the direction of the guardian?",0
"What is the direction associated with the mantra ""Oṃ Yaṃ Vāyuve Namaḥ""?",1
What weapon is used by the guardian whose consort is śacī?,0
What is the weapon associated with the consort named Śacī?,1
What are the directions for the guardian whose weapon is khaḍga (sword)?,0
"What is the direction associated with the weapon ""Khaḍga (sword)""?",1
What are the weapons used by guardians for the direction East?,0
What is the weapon associated with the direction East?,1
What are the directions for the guardian whose graha (planet) is bṛhaspati (Jupiter)?,0
What is the direction associated with the planet Jupiter in the table?,1
"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?",0
"What is the maximum number of chapters for a fraternity organization with headquarters in Austin, Texas?",1
What are the members listed with the sorority classification,0
Retrieve all members who belong to the Sorority classification from the table.,1
Name the member that has 12 chapters,0
Retrieve the members associated with chapters equal to 12 from the table.,1
Where is the headquarters of Alpha Nu Omega,0
What is the headquarters of the member named Alpha Nu Omega?,1
what is the number of relapsing fever when malaria is 3000,0
What is the minimum value of Relapsing fever where Malaria equals 3000?,1
what is the typhoid fever number for the year 1934,0
"What is the value of ""Typhoid fever"" in the table for the year 1934?",1
What are all the typhus number when smallpox is 4,0
Select the column Typhus from the table where the value of Smallpox is 4.,1
what is the number of smallpox when typhoid fever is 293,0
"What is the maximum value of the column named ""Smallpox"" from the table where the column named ""Typhoid fever"" equals 293?",1
what is the typhoid fever number for the year 1929,0
"What is the value of ""Typhoid fever"" in the table for the year 1929?",1
"How many schools are in Bloomington, IN?",0
"How many entries in the table have the location set to Bloomington, IN?",1
How many of the schools are designated private/Presbyterian?,0
How many locations have an affiliation of Private/Presbyterian?,1
In what year was Lindenwood University founded?,0
What is the minimum founded year for Lindenwood University?,1
"How many of the schools listed are in Ames, IA?",0
"How many primary conferences are there in Ames, IA?",1
What is the capital (endonym) where Douglas is the Capital (exonym)?,0
What is the endonym of the capital city whose exonym is Douglas?,1
How many countries (endonym) has the capital (endonym) of Jakarta?,0
How many countries have their capital as Jakarta?,1
What is the country (exonym) where the official or native language(s) (alphabet/script) is Icelandic?,0
What is the country's exonym where the official or native language(s) (alphabet/script) is Icelandic?,1
In which country (endonym) is Irish English the official or native language(s) (alphabet/script)?,0
What is the country's endonym where the official or native language(s) (alphabet/script) is Irish English?,1
Which country (exonym) is the country (endonym) isle of man ellan vannin?,0
"What is the exonym for the country with the endonym ""Isle of Man Ellan Vannin""?",1
"The season premiere aired on September 11, 2000 aired on how many networks? ",0
"How many entries in the table have a Season premiere date of September 11, 2000?",1
"What was the ranking of the season finale aired on May 8, 2006? ",0
"What is the ranking for the season finale that took place on May 8, 2006?",1
what is the minimum population canada 2011 census with seat of rcm being cowansville,0
What is the minimum population according to the Canada 2011 Census for the seat of RCM located in Cowansville?,1
what's the land area with seat of rcm being granby,0
What is the land area where the seat of RCM is Granby?,1
What is the population for County Mayo with the English Name Carrowteige?,0
What is the population of the place named Carrowteige in County Mayo?,1
What is the Irish name listed with 62% Irish speakers?,0
What is the Irish name of the person whose Irish speaking percentage is 62%?,1
What is the population for the Irish Name Leitir mealláin?,0
What is the population of the place named Leitir Mealláin?,1
What is the county for the Irish name Carna?,0
What is the county associated with the Irish name Carna?,1
How many County Kerry have 53% Irish speakers?,0
How many people have an English name in the table where the percentage of Irish speakers is 53% and the county is County Kerry?,1
What is the population for the English name Spiddal?,0
What is the population of Spiddal?,1
What is the the Chinese population for the state that has a Filipino population of 1474707?,0
What is the minimum value of the Chinese column in the table where the Filipino column equals 1474707?,1
How many States have an Indian population of 30947?,0
How many entries in the table have the value 30947 for the Indian column and a Filipino column?,1
What is the highest Indian population?,0
"What is the maximum value of the column named ""Indian"" from the table?",1
What is Australia's role in the UN operation Unama?,0
What is the Australian role associated with the operation named UNAMA?,1
"What is the UN operation title with the UN operation name, Uncok?",0
"What is the operation title associated with the operation name ""UNCOK"" in the table?",1
How many Australians were in the UN commission on Korea?,0
"How many Australians are involved in the operation titled ""UN Commission on Korea""?",1
When was it where 65 Australians were involved in the UN?,0
What are the dates of Australian involvement where the number of Australians involved is 65?,1
What year is the season with the 10.73 million views?,0
What is the TV season where the viewers (millions) are equal to 10.73?,1
What is the season year where the rank is 39?,0
What is the TV season associated with the entry that has a rank of 39?,1
What is the number of season premieres were 10.17 people watched?,0
How many season premieres have exactly 10.17 million viewers according to the table?,1
What is the year of the season that was 12?,0
Retrieve the TV season from the table where the Season is equal to 12.,1
In 2012 what was the average finish?,0
What is the average finish for the year 2012?,1
How many wins happened in 1983?,0
What is the minimum number of wins in the table for the year 1983?,1
How many top tens had an average start of 29.4?,0
"Count the number of rows in the table where the average start value is 29.4, and limit the result to the top 10.",1
How many poles had an average finish of 19.1?,0
What is the maximum value of Poles from the table where the Avg. Finish is 19.1?,1
How many starts did Hendrick motorsports have?,0
What is the minimum number of starts for teams named Hendrick Motorsports?,1
NHL players are all centre in Florida panthers.,0
What is the name of the player who plays as a Centre for the Florida Panthers?,1
NHL team player San Jose Sharks is United States nationally.,0
What is the player name for the San Jose Sharks team from the United States?,1
All players are position mark polak.,0
What is the position of Mark Polak?,1
Position in nhl team centre are all smaller pick than 243.0,0
What is the NHL team of the player who was picked before 243rd overall and positioned as a Centre?,1
What college/junior/club teams do the players from the St. Louis Blues come from?,0
What is the College/junior/club team associated with the NHL team St. Louis Blues?,1
